Marks,Percentile
220,99.98408024
219,99.93897424
218,99.87264188
217,99.7771233
216,99.61261907
215,99.43219507
214,99.18013213
213,98.91214943
212,98.65212662
211,98.30719839
210,97.91451087
209,97.46345087
208,97.02565735
207,96.47907878
206,95.92719361
205,95.3514288
204,94.7252514
203,94.11234047
202,93.40125766
201,92.73528085
200,92.03746451
199,91.34495476
198,90.68163125
197,89.86441667
196,89.12680092
195,88.40510494
194,87.70198201
193,87.11295073
192,86.48146674
191,85.8314097
190,85.22911194
189,84.57374831
188,83.91573138
187,83.30016716
186,82.6978694
185,82.02127942
184,81.42694155
183,80.80872403
182,80.21438616
181,79.61208841
180,79.04693677
179,78.40483961
178,77.83438138
177,77.26922975
176,76.69346494
175,76.12566001
174,75.48356284
173,74.98739685
172,74.49919075
171,74.01629123
170,73.42460665
169,72.80108254
168,72.26511714
167,71.76629786
166,71.20114622
165,70.60680835
164,69.99920401
163,69.37302661
162,68.79991509
161,68.19761734
160,67.63777229
159,67.09650031
158,66.59768102
157,66.1147815
156,65.54962987
155,64.97917164
154,64.42993977
153,63.98949296
152,63.43760779
151,62.92552204
150,62.3603704
149,61.79521876
148,61.24598689
147,60.67552867
146,60.18997586
145,59.68319669
144,59.16315105
143,58.64310542
142,58.1575526
141,57.58974767
140,56.97949004
139,56.45679111
138,55.833267
137,55.27607525
136,54.72153679
135,54.18291809
134,53.63368622
133,53.06588129
132,52.50338295
131,51.91169837
130,51.37838627
129,50.82384781
128,50.23746982
127,49.70415771
126,49.10716655
125,48.54997479
124,47.92645069
123,47.34803258
122,46.74573483
121,46.18588978
120,45.61012497
119,45.06885298
118,44.49308817
117,43.95712277
116,43.39462443
115,42.87457879
114,42.26962774
113,41.63283717
112,40.99604659
111,40.40170872
110,39.81002414
109,39.14670063
108,38.44888429
107,37.89965242
106,37.35042055
105,36.76404256
104,36.16970469
103,35.65496564
102,35.05797448
101,34.48220966
100,33.89317838
99,33.36782616
98,32.73634217
97,32.12608453
96,31.44418796
95,30.78351774
94,30.14672716
93,29.53646953
92,28.97397119
91,28.38228661
90,27.7136565
89,27.11666534
88,26.51702088
87,25.98370877
86,25.39467749
85,24.78972645
84,24.22192152
83,23.65411659
82,23.02793919
81,22.41768155
80,21.74905145
79,21.11491417
78,20.57364218
77,19.62880416
76,19.45129879
