Marks,Percentile
120,99.99791705
118.75,99.99583411
117.5,99.98958528
116.75,99.97917057
116.5,99.97708762
116.25,99.97500468
115.5,99.95417525
115.25,99.95000937
115,99.94792643
114.75,99.91668228
114.25,99.91459934
114,99.90418463
113.75,99.89585286
113.25,99.83544752
113,99.83336457
112.75,99.81461809
112.5,99.80212043
112.25,99.74588098
112,99.73963215
111.75,99.73754920
111.5,99.73338332
111.25,99.72296861
111,99.67297798
110.75,99.66672915
110.5,99.65006561
110.25,99.62923618
110,99.61882147
109.75,99.53550375
109.5,99.51884021
109.25,99.50842550
109,99.49176196
108.75,99.46676664
108.5,99.39178070
108.25,99.37720010
108,99.35220479
107.75,99.33554125
107.5,99.30429711
107.25,99.18556937
107,99.17723760
106.75,99.15432523
106.5,99.12516403
106.25,99.08767106
106,98.97935803
105.75,98.95852860
105.5,98.91895269
105.25,98.88979149
105,98.85854735
104.75,98.76481493
104.5,98.73565373
104.25,98.68358016
104,98.63983836
103.75,98.56276948
103.5,98.47736882
103.25,98.44195879
103,98.41279760
102.75,98.35030931
102.5,98.28365514
102.25,98.15867858
102,98.11077089
101.75,98.07744381
101.5,98.03161907
101.25,97.97746255
101,97.84207127
100.75,97.78583182
100.5,97.74209002
100.25,97.66502114
100,97.59628403
99.75,97.45672686
99.5,97.40048740
99.25,97.35882855
99,97.28384261
98.75,97.20469078
98.5,97.02972359
98.25,96.97973296
98,96.90058114
97.75,96.84434168
97.5,96.77768751
97.25,96.63396446
97,96.56731029
96.75,96.49232435
96.5,96.39026015
96.25,96.27569830
96,96.10489699
95.75,95.99658397
95.5,95.91951509
95.25,95.81953383
95,95.71746964
94.75,95.52792184
94.5,95.42169176
94.25,95.34670582
94,95.25713928
93.75,95.14882626
93.5,94.97802495
93.25,94.88012664
93,94.77389656
92.75,94.68641296
92.5,94.56351934
92.25,94.40521568
92,94.29273677
91.75,94.18234081
91.5,94.04903247
91.25,93.92613884
91,93.71576162
90.75,93.61578037
90.5,93.49288675
90.25,93.38040784
90,93.27626070
89.75,93.07421525
89.5,92.95757045
89.25,92.85758920
89,92.71594909
88.75,92.58264075
88.5,92.37226353
88.25,92.27436522
88,92.14313982
87.75,92.03690974
87.5,91.90776729
87.25,91.70572184
87,91.56199879
86.75,91.46410048
86.5,91.31412860
86.25,91.13499552
86,90.88920827
85.75,90.77672936
85.5,90.62467454
85.25,90.44762440
85,90.31431606
84.75,90.08935824
84.5,89.95188402
84.25,89.77483388
84,89.62069611
83.75,89.44572892
83.5,89.21243933
83.25,89.04163802
83,88.91874440
82.75,88.73961132
82.5,88.57089295
82.25,88.31469099
82,88.15638734
81.75,88.02307900
81.5,87.85019475
81.25,87.68147638
81,87.45235268
80.75,87.27946843
80.5,87.10450123
80.25,86.93161698
80,86.75664979
79.75,86.49836488
79.5,86.35672478
79.25,86.15051344
79,85.95055093
78.75,85.76516903
78.5,85.54437709
78.25,85.39232227
78,85.22568685
77.75,85.07571497
77.5,84.86742069
77.25,84.60496990
77,84.42791976
76.75,84.23420608
76.5,84.05090712
76.25,83.82178341
76,83.55933262
75.75,83.30729654
75.5,83.13024641
75.25,82.94069861
75,82.74490199
74.75,82.50536357
74.5,82.32831344
74.25,82.14709741
74,81.92838842
73.75,81.75133829
73.5,81.46180924
73.25,81.25559790
73,81.04313774
72.75,80.83276052
72.5,80.63071507
72.25,80.37451311
72,80.14955529
71.75,79.97042221
71.5,79.78504030
71.25,79.54966777
71,79.24972401
70.75,79.06642504
70.5,78.84355016
70.25,78.62067529
70,78.36655627
69.75,78.04161719
69.5,77.83748880
69.25,77.67918515
69,77.48547147
68.75,77.22302068
68.5,76.94598929
68.25,76.70645087
68,76.49815659
67.75,76.26070111
67.5,76.00866504
67.25,75.73579953
67,75.51709054
66.75,75.26088858
66.5,75.00885250
66.25,74.77139702
66,74.47353621
65.75,74.25274427
65.5,74.00070820
65.25,73.76533566
65,73.44872836
64.75,73.14461871
64.5,72.92590972
64.25,72.68012247
64,72.42600345
63.75,72.19896269
63.5,71.89901893
63.25,71.66781228
63,71.46368389
62.75,71.24080901
62.5,71.04292945
62.25,70.73465391
62,70.49303255
61.75,70.25557707
61.5,69.99104334
61.25,69.77650023
61,69.44322939
60.75,69.19327626
60.5,68.94957195
60.25,68.72253119
60,68.46008040
59.75,68.11014601
59.5,67.88102230
59.25,67.66023037
59,67.37486721
58.75,67.13949467
58.5,66.78956029
58.25,66.55002187
58,66.29381990
57.75,66.01262263
57.5,65.73142535
57.25,65.36899331
57,65.07529838
56.75,64.80451581
56.5,64.53581620
56.25,64.21712595
56,63.86302568
55.75,63.61515549
55.5,63.33187527
55.25,63.03609739
55,62.74448540
54.75,62.40079985
54.5,62.12376846
54.25,61.83632235
54,61.60511570
53.75,61.32183548
53.5,60.95107167
53.25,60.63654731
53,60.37826240
52.75,60.07206982
52.5,59.79087254
52.25,59.43052344
52,59.11183319
51.75,58.83063592
51.5,58.53694099
51.25,58.22866545
51,57.87873107
50.75,57.64335853
50.5,57.33300006
50.25,57.06638338
50,56.78518611
