Marks,Percentile
120.00,99.99799184
118.75,99.97389400
117.75,99.91364941
117.50,99.90762495
117.00,99.83934775
116.50,99.83733959
116.25,99.82529068
115.50,99.72086671
115.25,99.71484225
115.00,99.70078518
114.25,99.51402694
114.00,99.51001064
113.75,99.47988834
113.50,99.28911380
113.25,99.28509749
113.00,99.27706488
112.75,99.25497519
112.50,99.22284474
112.00,98.97383376
111.75,98.96379299
111.50,98.93367070
111.25,98.86539349
111.00,98.58826836
110.75,98.58425206
110.50,98.56818683
110.25,98.52802377
110.00,98.47581179
109.75,98.19868666
109.50,98.17860513
109.25,98.15049099
109.00,98.09827901
108.75,97.99184689
108.50,97.67455870
108.25,97.64644456
108.00,97.60427334
107.75,97.53800429
107.50,97.42153141
107.25,97.08817800
107.00,97.06608831
106.75,97.00785187
106.50,96.90945237
106.25,96.80101210
106.00,96.43753639
105.75,96.39536518
105.50,96.32307167
105.25,96.22065586
105.00,96.11623190
104.75,95.74472357
104.50,95.69652790
104.25,95.61419362
104.00,95.48567182
103.75,95.35313372
103.50,95.04588629
103.25,94.97961724
103.00,94.89125850
102.75,94.78683454
102.50,94.64626383
102.25,94.31291041
102.00,94.25668212
101.75,94.15225816
101.50,94.01168745
101.25,93.86308412
101.00,93.48153503
100.75,93.40522521
100.50,93.28875233
100.25,93.17227945
100.00,93.00158644
99.75,92.65819226
99.50,92.57384983
99.25,92.45135249
99.00,92.31278992
98.75,92.14008876
98.50,91.75452336
98.25,91.65813201
98.00,91.55571620
97.75,91.41313733
97.50,91.24646063
97.25,90.87495230
97.00,90.74442235
96.75,90.59782717
96.50,90.47332168
96.25,90.30664497
96.00,89.95321003
95.75,89.81263931
95.50,89.67206859
95.25,89.50338373
95.00,89.33469887
94.75,88.92704379
94.50,88.82864429
94.25,88.67401650
94.00,88.52541317
93.75,88.38283430
93.50,87.98923629
93.25,87.86473080
93.00,87.74022531
92.75,87.61371166
92.50,87.45506757
92.25,87.08556740
92.00,86.93696407
91.75,86.81446673
91.50,86.64578187
91.25,86.48713777
91.00,86.12767837
90.75,85.97305058
90.50,85.80637387
90.25,85.65174608
90.00,85.50515091
89.75,85.16175673
89.50,85.01716970
89.25,84.85250115
89.00,84.67578368
88.75,84.47898467
88.50,84.07936221
88.25,83.94682410
88.00,83.82031046
87.75,83.62551960
87.50,83.45683474
87.25,83.12548948
87.00,82.95881277
86.75,82.78811976
86.50,82.60939414
86.25,82.42062774
86.00,82.09329879
85.75,81.93264654
85.50,81.73183123
85.25,81.51896700
85.00,81.33020061
84.75,80.96471675
84.50,80.81008896
84.25,80.62132256
84.00,80.45464586
83.75,80.26587947
83.50,79.94457497
83.25,79.79998795
83.00,79.62929493
82.75,79.44454485
82.50,79.23971323
82.25,78.87623752
82.00,78.68947928
81.75,78.50071289
81.50,78.28383235
81.25,78.07900074
81.00,77.71954133
80.75,77.53880755
80.50,77.33196778
80.25,77.16328292
80.00,76.95443500
79.75,76.63313050
79.50,76.47448641
79.25,76.27969556
79.00,76.10297809
78.75,75.90417093
78.50,75.56077675
78.25,75.40815711
78.00,75.17922766
77.75,74.97640420
77.50,74.78562965
77.25,74.39604795
77.00,74.18318372
76.75,74.01650701
76.50,73.82171616
76.25,73.62290901
76.00,73.27951483
75.75,73.05660983
75.50,72.85177821
75.25,72.63891399
75.00,72.42002530
74.75,72.03646806
74.50,71.85975058
74.25,71.64287005
74.00,71.41996505
73.75,71.20308452
73.50,70.90386971
73.25,70.72313593
73.00,70.53035323
72.75,70.29539932
72.50,70.10060847
72.25,69.75118983
72.00,69.58852942
71.75,69.39373857
71.50,69.17886619
71.25,68.98809165
71.00,68.64469747
70.75,68.44187400
70.50,68.23302608
70.25,68.04827600
70.00,67.82737915
69.75,67.50406651
69.50,67.29120228
69.25,67.06227282
69.00,66.82932706
68.75,66.60039761
68.50,66.26704419
68.25,66.05819627
68.00,65.83529128
67.75,65.63648412
67.50,65.41157097
67.25,65.08223386
67.00,64.86334518
66.75,64.64847279
66.50,64.44966564
66.25,64.21872803
66.00,63.88336646
65.75,63.65644516
65.50,63.44558909
65.25,63.21866779
65.00,62.97568126
64.75,62.66642568
64.50,62.47565114
64.25,62.23868907
64.00,62.01377593
63.75,61.78685462
63.50,61.40731369
63.25,61.19645761
63.00,60.96953631
62.75,60.75265578
62.50,60.53778340
62.25,60.20442998
62.00,60.01566359
61.75,59.78874229
61.50,59.57386991
61.25,59.33088338
61.00,58.97945659
60.75,58.77261682
60.50,58.55573628
60.25,58.32078237
60.00,58.06775508
59.75,57.69423860
59.50,57.44723577
59.25,57.24240416
59.00,56.98335241
58.75,56.76245556
58.50,56.38693093
58.25,56.13189549
58.00,55.90296604
57.75,55.65194690
57.50,55.40896037
57.25,55.05753358
57.00,54.84466935
56.75,54.64787035
56.50,54.43701427
56.25,54.18398698
56.00,53.83055204
55.75,53.58154105
55.50,53.35662790
55.25,53.10761692
55.00,52.87868747
54.75,52.50517099
