Marks,Percentile
299,99.99728268
298,99.99456536
297,99.98097877
296,99.95108828
295,99.92391511
294,99.86141680
293,99.79891850
292,99.70652971
291,99.63316214
290,99.54349066
289,99.41849406
288,99.27175891
287,99.11687182
286,98.94839814
285,98.74459933
284,98.52449661
283,98.29080731
282,98.06255264
281,97.75549577
280,97.49191598
279,97.16312056
278,96.80986929
277,96.48379120
276,96.10064943
275,95.68218254
274,95.33436591
273,94.85340072
272,94.49199750
271,94.02733621
270,93.56810956
269,93.10344827
268,92.65237357
267,92.16869106
266,91.69587782
265,91.15784897
264,90.63340670
263,90.10896443
262,89.58180484
261,88.99486426
260,88.45955272
259,87.90793728
258,87.32643134
257,86.71231760
256,86.13624629
255,85.57376158
254,84.99497296
253,84.42977093
252,83.85913426
251,83.26675905
250,82.68525311
249,82.12005108
248,81.52224124
247,80.98964702
246,80.39183717
245,79.85380832
244,79.26958506
243,78.71253498
242,78.11744246
241,77.52778457
240,76.92725741
239,76.37292464
238,75.67729137
237,75.05502567
236,74.47895437
235,73.90016575
234,73.31050786
233,72.68280753
232,72.03336865
231,71.42468954
230,70.90024727
229,70.26167767
228,69.68560636
227,69.09051384
226,68.50357327
225,67.91935001
224,67.32154017
223,66.76992473
222,66.21559196
221,65.67484579
220,65.12323034
219,64.54987636
218,63.99010896
217,63.46294937
216,62.85427026
215,62.30265481
214,61.77821254
213,61.17768538
212,60.62878726
211,60.09075840
210,59.54457759
209,59.01741800
208,58.43319475
207,57.86799271
206,57.27018287
205,56.75660987
204,56.15336539
203,55.63979239
202,55.06100377
201,54.48493247
200,53.87625336
199,53.40344012
198,52.91160566
197,52.41161924
196,51.84098258
195,51.31925762
194,50.79481535
193,50.21059210
192,49.73506154
191,49.22692318
190,48.69976359
189,48.19705986
188,47.73511589
187,47.25415070
186,46.77862014
185,46.25689519
184,45.78951658
183,45.27050895
182,44.87649792
181,44.35477296
180,43.84119996
179,43.37382136
178,42.88198690
177,42.46352001
176,41.97712018
175,41.43093937
174,40.97443004
173,40.48259558
172,39.97717453
171,39.52881715
170,39.03426537
169,38.57232140
168,38.08863889
167,37.57506589
166,37.10225265
165,36.61313551
164,36.13488763
163,35.66479171
162,35.19197847
161,34.75177304
160,34.27624249
159,33.78440803
158,33.31159479
157,32.89856253
156,32.42303198
155,31.97739191
154,31.55892502
153,31.12143691
152,30.66221026
151,30.19211434
150,29.80625526
149,29.34702861
148,28.91769245
147,28.52911605
146,28.12423575
145,27.69761691
144,27.25197684
143,26.81177141
142,26.40960843
141,26.00744544
140,25.62430368
139,25.20855411
138,24.77921795
137,24.30912203
136,23.90967636
135,23.49392679
134,23.12165430
133,22.71133936
132,22.30102442
131,21.92331730
130,21.57550066
129,21.21953207
128,20.89345398
127,20.49400831
126,20.13260509
125,19.76304991
124,19.36632156
123,19.03752615
122,18.67340561
121,18.31200239
120,17.93701258
119,17.59463058
118,17.30659492
117,16.90443194
116,16.47237846
115,16.08108475
114,15.70337762
113,15.25502024
112,14.89361702
111,14.55938697
110,14.22515692
109,13.89636151
108,13.59745659
107,13.21974946
106,12.85019428
105,12.46433520
104,12.12738784
103,11.80402706
102,11.52142604
101,11.23067307
100,10.91002961
99,10.63014591
98,10.29863318
97,10.01331485
96,09.70354066
95,09.40463574
94,09.07040569
93,08.83671639
92,08.57857123
91,08.31499144
90,08.07586750
89,07.77424526
88,07.48892693
87,07.20089128
86,06.96991929
85,06.73079535
