Marks,Percentile
291,99.99755471
290,99.99510942
289,99.99388678
288,99.99266413
287,99.99021885
286,99.98532827
285,99.97799241
284,99.97065655
283,99.95353955
282,99.94620369
281,99.92664139
280,99.90952439
279,99.88262623
278,99.86795451
277,99.82882993
276,99.79948648
275,99.76036190
274,99.73590903
273,99.68944858
272,99.65032400
271,99.59408240
270,99.54517667
269,99.49871622
268,99.43269348
267,99.34221787
266,99.28597628
265,99.21750825
264,99.13192321
263,99.02188531
262,98.93630028
261,98.83848881
260,98.71866976
259,98.61107714
258,98.51571096
257,98.42034478
256,98.29563516
255,98.18070668
254,98.03154419
253,97.90683457
252,97.77967966
251,97.64518889
250,97.48379997
249,97.32241105
248,97.14145983
247,96.98007091
246,96.76977625
245,96.56681745
244,96.39320210
243,96.22203203
242,96.00195622
241,95.82345029
240,95.63027264
239,95.41753270
238,95.11676244
237,94.90891307
236,94.69128255
235,94.48343318
234,94.26580266
233,94.00904756
232,93.79630761
231,93.53221665
230,93.31214084
229,93.10184619
228,92.87198924
227,92.61523413
226,92.37315075
225,92.10661450
224,91.80584423
223,91.56376085
222,91.26299058
221,90.98667318
220,90.73236336
219,90.41203081
218,90.14549455
217,89.88140359
216,89.62953906
215,89.33610465
214,89.04022496
213,88.72967355
212,88.43379386
211,88.08656314
210,87.79068345
209,87.47768675
208,87.15979948
207,86.81990463
206,86.46044748
205,86.15234136
204,85.84178994
203,85.51901210
202,85.17667196
201,84.86122997
200,84.58002200
199,84.27925174
198,83.97603619
197,83.64592248
196,83.31580877
195,82.96124220
194,82.60423034
193,82.29123364
192,82.01491624
191,81.68480254
190,81.29355666
189,80.90720136
188,80.60887639
187,80.33744956
186,80.00733586
185,79.67477686
184,79.33243672
183,78.91184741
182,78.51082039
181,78.06333292
180,77.73810979
179,77.33219219
178,76.96784447
177,76.59616089
176,76.17801687
175,75.76720870
174,75.45665729
173,75.04584912
172,74.63993153
171,74.17777234
170,73.76207360
169,73.35615600
168,72.93556669
167,72.44650935
166,72.01369360
165,71.56376085
164,71.16762440
163,70.72258222
162,70.30443819
161,69.85450544
160,69.39723682
159,68.90817948
158,68.39955984
157,67.95940824
156,67.49480376
155,66.97395769
154,66.48979092
153,66.04719403
152,65.57036312
151,64.99816603
150,64.53356156
149,64.04205893
148,63.56278273
147,63.05416310
146,62.59689448
145,62.02714268
144,61.60655336
143,61.10771487
142,60.56486122
141,60.12715490
140,59.65276928
139,59.09768920
138,58.55483555
137,58.01687247
136,57.51803398
135,57.00941435
134,56.51546643
133,55.98728450
132,55.47621958
131,54.93825651
130,54.34405184
129,53.82809634
128,53.25589925
127,52.64946815
126,52.09194278
125,51.53441741
124,50.98667318
123,50.31910991
122,49.75424868
121,49.11358356
120,48.53894119
119,47.99119696
118,47.36520357
117,46.82724049
116,46.14745078
115,45.45543464
114,44.80009781
113,44.26458002
112,43.67526592
111,43.07617068
110,42.39149040
109,41.77038757
108,41.13216774
107,40.41569874
106,39.69189387
105,39.00721359
104,38.34454089
103,37.69164934
102,36.95561804
101,36.28805477
100,35.65717080
99,34.98471695
98,34.29759139
97,33.67159799
96,32.98936300
95,32.23865998
94,31.57598728
93,30.94510331
92,30.23597016
91,29.57574275
90,28.82259444
89,28.14769531
88,27.49480376
87,26.76855361
86,26.09365448
85,25.36251375
84,24.60447487
