Marks,Percentile
217,99.93813978
216,99.89873837
215,99.83865121
214,99.75452919
213,99.63888604
212,99.49901102
211,99.32800889
210,99.13435094
209,98.90286763
208,98.65089559
207,98.38651211
206,98.10577704
205,97.77441115
204,97.46550406
203,97.15009575
202,96.82365503
201,96.4938652
200,96.16860653
199,95.83014839
198,95.49011419
197,95.14003262
196,94.80177149
195,94.42706404
194,94.06673811
193,93.68828754
192,93.31811125
191,92.92784025
190,92.52299072
189,92.13508381
188,91.73200734
187,91.30647208
186,90.87266251
185,90.44633921
184,90.01568176
183,89.56985477
182,89.12993798
181,88.69770447
180,88.26941111
179,87.81924995
178,87.36672472
177,86.92936903
176,86.46640241
175,86.00205675
174,85.52490563
173,85.04401138
172,84.56351114
171,84.08143484
170,83.59876752
169,83.10230971
168,82.58989433
167,82.07491785
166,81.55107605
165,81.02506718
164,80.51442486
163,79.97679257
162,79.4647712
161,78.92733591
160,78.39856894
159,77.82744545
158,77.27326456
157,76.71317347
156,76.14461107
155,75.56422824
154,74.99389278
153,74.40838777
152,73.80928928
151,73.20565962
150,72.61463841
149,72.01159978
148,71.41486537
147,70.79646018
146,70.17904002
145,69.56102885
144,68.93553141
143,68.30727587
142,67.67980835
141,67.05312887
140,66.40773371
139,65.76746074
138,65.11339727
137,64.44337623
136,63.78714568
135,63.11633661
134,62.46404621
133,61.79304013
132,61.0897249
131,60.41990087
130,59.7128425
129,59.01760455
128,58.30365094
127,57.58753024
126,56.85210285
125,56.14662054
124,55.39523558
123,54.65232193
122,53.90862024
121,53.14029267
120,52.36447884
119,51.62432328
118,50.85481367
117,50.07919684
116,49.29629075
115,48.47437726
114,47.66960339
113,46.87743796
112,46.04941725
111,45.20524196
110,44.36599185
109,43.49482659
108,42.63528475
107,41.77613693
106,40.90536568
105,40.00228528
104,39.10413006
103,38.20183768
102,37.23650305
101,36.27333549
100,35.27569169
99,34.29912765
98,33.27547892
97,32.25084516
96,31.20060048
95,30.10977234
94,29.06799896
93,27.97500374
92,26.84241011
91,25.67100608
90,24.49605592
89,23.31145241
88,22.07838517
87,20.83310349
86,19.56871213
85,18.28757516
84,16.9788572
83,15.69200703
82,14.44298221
81,13.24301216
80,12.07416922
79,10.87754829
78,9.52785286
77,8.30916713
76,7.63362989
75,7.06585552
74,6.4492234
73,5.59125761
72,4.79397001
71,4.67576577
66,3.66945366
65,3.34478601
64,2.9876122
63,2.61349577
62,2.21475347
61,1.80241767
60,1.43105935
57,0.57092648
56,0.38337576
55,0.24507679
54,0.13987502
